Wall time,Step,Value
1636154985.968685,3747,1915.25
1636155004.4859855,10724,1735.0799560546875
1636155015.8821235,15091,1853.0
1636155043.7930176,25805,1937.4444580078125
1636155047.6765497,27295,1947.140380859375
1636155052.830234,29260,1945.6229248046875
1636155067.4166687,34850,1980.6944580078125
1636155072.7325008,36885,1985.868408203125
1636155097.5076332,46310,1974.3541259765625
1636155102.8384826,48328,1978.0400390625
1636155137.3044114,61468,2053.56005859375
1636155152.4394312,67245,2067.02001953125
1636155158.360103,69527,2072.340087890625
1636155160.290858,70270,2079.1201171875
1636155171.9694803,74727,2069.14990234375
1636155193.7260299,83013,2029.1800537109375
1636155214.3507946,90848,1989.4200439453125
1636155233.496538,98146,2000.6800537109375
1636155246.9157386,101506,2002.719970703125
1636155254.3555026,102906,2002.1400146484375
1636155286.7429447,109247,2001.8199462890625
1636155288.724747,109620,1992.3800048828125
1636155324.7895348,116731,1990.3599853515625
1636155338.0525923,119301,1953.780029296875
1636155342.8669689,120215,1951.9599609375
1636155345.949771,120812,1946.5400390625
1636155357.497269,123071,1939.0799560546875
1636155386.4175603,128762,1949.8800048828125
1636155413.9485888,134043,1951.780029296875
1636155416.4628744,134543,1942.1400146484375
1636155437.216741,138625,1999.5
1636155478.1389432,146618,2014.1400146484375
1636155503.9754314,151676,2073.580078125
1636155521.933757,155173,2087.219970703125
1636155581.0875335,166695,2165.159912109375
1636155602.6531386,170861,2159.699951171875
1636155621.5082798,174504,2215.3798828125
1636155645.8353949,179189,2233.8798828125
1636155662.520564,182441,2240.239990234375
1636155669.5639665,183790,2238.679931640625
1636155742.886624,197892,2271.949951171875
1636155760.365514,201233,2267.889892578125
1636155764.2290258,201970,2267.929931640625
1636155782.5016408,205483,2236.550048828125
1636155802.4257536,209320,2241.530029296875
1636155812.0114677,211169,2243.590087890625
1636155835.9141977,215692,2203.75
1636155839.4143796,216356,2192.830078125
1636155877.491999,223615,2156.669921875
1636155905.4454114,228888,2122.72998046875
1636155938.1111088,235158,2111.010009765625
1636155994.177078,245898,2041.18994140625
1636156003.318388,247615,2009.7099609375
1636156040.7864501,254783,2016.8900146484375
1636156192.1040132,283464,1983.4599609375
1636156196.1376803,284226,1988.4000244140625
1636156226.1369524,289913,1990.3800048828125
1636156259.4011924,296176,2035.27001953125
1636156266.3204827,297472,2048.090087890625
1636156269.8937316,298138,2062.35009765625
1636156284.2497823,300874,2071.14990234375
1636156309.57981,305619,2102.489990234375
1636156345.9208472,312460,2144.340087890625
1636156360.9755332,315324,2194.52001953125
1636156364.3906379,315970,2184.719970703125
1636156406.6580627,323913,2246.89990234375
1636156470.7453258,335889,2294.4599609375
1636156478.6725316,337365,2295.6201171875
1636156544.323662,349630,2214.0400390625
1636156550.5743442,350807,2231.360107421875
1636156562.227939,352992,2240.02001953125
1636156592.3333075,358633,2201.860107421875
1636156617.6843548,363372,2209.6201171875
1636156627.4352193,365224,2217.47998046875
1636156641.0866296,367795,2233.080078125
1636156662.0036454,371688,2182.679931640625
1636156686.4158385,376240,2211.780029296875
1636156731.822117,384909,2262.159912109375
1636156761.8394055,390509,2314.719970703125
1636156793.9956384,396561,2391.47998046875
1636156811.9809887,399917,2411.300048828125
1636156834.9989142,404183,2425.239990234375
1636156844.6306705,405970,2461.02001953125
1636156859.4691606,408743,2512.919921875
1636156869.2130182,410563,2539.52001953125
1636156872.63613,411187,2521.1201171875
1636156892.4091053,414862,2521.419921875
1636156895.1065576,415364,2514.659912109375
1636156932.3804433,422284,2526.840087890625
1636156958.516203,427100,2446.0400390625
1636156981.7142918,431445,2496.56005859375
1636157004.5520535,435695,2514.699951171875
1636157015.2437732,437686,2497.239990234375
1636157074.2994606,448684,2503.93994140625
1636157111.2460485,455581,2509.949951171875
1636157117.3115628,456712,2516.469970703125
1636157126.241681,458370,2505.68994140625
1636157142.604556,461412,2527.610107421875
1636157157.4070132,464168,2551.1298828125
1636157213.522027,474511,2555.719970703125
1636157229.1702528,477420,2582.679931640625
1636157252.1941833,481692,2656.260009765625
1636157268.8473225,484792,2674.02001953125
1636157285.1051025,487805,2703.080078125
1636157310.7704349,492644,2778.760009765625
1636157315.99018,493610,2805.919921875
1636157342.2960944,498557,2884.6298828125
1636157373.1401348,504333,2931.77001953125
1636157506.8677053,529350,3211.81005859375
1636157554.9934564,538331,3275.320068359375
1636157587.1216638,544380,3330.409912109375
1636157618.3800807,550191,3403.0400390625
1636157627.7475965,551956,3434.739990234375
1636157678.0823557,561401,3542.989990234375
1636157750.3190255,574820,3634.72998046875
1636157774.8283067,579317,3635.550048828125
1636157798.1004634,583580,3642.18994140625
1636157820.6859956,587719,3635.1298828125
1636157828.5761685,589193,3643.090087890625
1636157856.954967,594517,3653.64990234375
1636157909.9201179,604287,3533.429931640625
1636157940.9803543,610040,3507.60009765625
1636157947.2500541,611178,3492.449951171875
1636157953.4426837,612295,3472.570068359375
1636157969.2960958,615214,3435.969970703125
1636157973.7091076,616038,3462.550048828125
1636158008.3556044,622396,3425.300048828125
1636158034.3682525,627181,3378.800048828125
1636158041.0713463,628393,3340.5400390625
1636158054.4955502,630856,3342.780029296875
1636158089.2711642,637223,3293.0400390625
1636158097.5386803,638739,3266.06005859375
1636158107.101376,640530,3275.199951171875
1636158135.4271247,645696,3242.679931640625
1636158167.1559691,651600,3286.919921875
1636158196.8549685,656985,3244.469970703125
1636158205.2746222,658559,3271.7099609375
1636158212.8104732,659979,3251.510009765625
1636158385.2992811,691641,3295.22998046875
1636158415.4036493,697119,3360.449951171875
1636158430.4253054,699847,3357.080078125
1636158464.473258,706071,3373.409912109375
1636158651.6624305,740162,3491.5400390625
1636158664.1577895,742435,3523.659912109375
1636158700.8891819,749024,3523.080078125
1636158716.2421393,751820,3516.3701171875
1636158744.4838135,756931,3481.8701171875
1636158762.3500555,760155,3512.9599609375
1636158815.2861795,769563,3476.60009765625
1636158863.5250335,778405,3553.179931640625
1636158894.5232134,783997,3537.10009765625
1636158959.1019216,795771,3577.949951171875
1636158974.4979177,798634,3570.43994140625
1636159020.7519667,806691,3508.429931640625
1636159037.6593375,809646,3527.43994140625
1636159066.2022858,814836,3574.030029296875
1636159091.831585,819549,3564.1201171875
1636159176.4785366,834947,3622.47998046875
1636159190.3071086,837470,3628.97998046875
1636159217.2666547,842350,3684.909912109375
1636159289.264107,855422,3797.280029296875
1636159320.2562816,861034,3842.7900390625
1636159397.8278017,875022,3950.27001953125
1636159429.4725716,880733,3970.489990234375
1636159458.772208,886004,4036.9599609375
1636159470.353736,888072,4055.929931640625
1636159543.1459107,901156,4162.4599609375
1636159552.830716,902923,4197.52001953125
1636159590.1206162,909690,4305.4599609375
1636159604.8870394,912365,4312.6298828125
1636159612.3368125,913682,4319.89013671875
1636159638.0942285,918181,4296.759765625
1636159650.1952295,920406,4329.419921875
1636159676.463109,925111,4297.77978515625
1636159683.388405,926326,4290.83984375
1636159755.6270766,939219,4309.43017578125
1636159791.4376316,945577,4266.68994140625
1636159819.4520996,950617,4277.52978515625
1636159842.452008,954744,4259.2099609375
1636159854.6631093,956890,4204.22021484375
1636159947.6106076,973442,4176.66015625
1636159990.560653,981051,4184.580078125
1636160079.7807622,997017,4183.85986328125
1636160109.7229824,1002290,4195.06982421875
1636160230.3356345,1023827,4275.14990234375
1636160306.3667536,1037340,4369.91015625
1636160436.7973268,1060423,4414.22998046875
1636160499.5443702,1071554,4513.7099609375
1636160528.9861355,1076781,4473.509765625
1636160544.0228052,1079443,4466.08984375
1636160589.1348157,1087551,4529.47998046875
1636160629.7167087,1094775,4572.85009765625
1636160646.7852256,1097735,4562.6298828125
1636160697.1590197,1106598,4489.669921875
1636160702.2916863,1107484,4473.830078125
1636160788.675217,1122760,4302.39013671875
1636160846.848101,1132968,4168.10009765625
1636160890.7209861,1140749,4173.4599609375
1636160903.777856,1143085,4200.47998046875
1636161004.2882292,1160899,4140.759765625
1636161060.0359087,1170746,4167.85986328125
1636161191.6715782,1193970,4004.1201171875
1636161203.2481022,1195949,3966.300048828125
1636161427.6651218,1235975,4383.6201171875
1636161443.1071599,1238704,4396.41015625
1636161490.4421918,1247126,4346.3701171875
1636161500.209071,1248834,4308.0498046875
1636161511.6474695,1250872,4306.02978515625
1636161715.557843,1286901,4344.93017578125
1636161836.7821803,1308409,4407.89013671875
1636161847.372808,1310264,4451.9501953125
1636161897.8627079,1319051,4390.06982421875
1636161926.988186,1324175,4203.580078125
1636161975.7505152,1332673,4173.18994140625
1636162252.62522,1381741,4111.7001953125
1636162273.8134825,1385528,4116.08984375
1636162381.0930448,1404497,4183.91015625
1636162521.9230723,1429510,4258.5400390625
1636162551.1416347,1434663,4245.47998046875
1636162584.0915885,1440516,4251.10009765625
1636162809.2886822,1480540,4482.64013671875
1636162872.3369992,1491692,4469.47021484375
1636162941.3417308,1503895,4375.35986328125
1636163012.8006952,1516541,4276.35009765625
1636163141.6858685,1539383,4185.31005859375
1636163194.1645765,1548721,4229.14990234375
1636163202.5091622,1550210,4231.240234375
1636163234.8295448,1555903,4212.1201171875
1636163312.9395542,1569618,4058.510009765625
1636163349.4987893,1576125,4020.489990234375
1636163374.587598,1580638,4032.139892578125
1636163405.232457,1586109,4052.72998046875
1636163417.6507459,1588332,4089.419921875
1636163602.7380075,1620983,4140.39013671875
1636163742.4229941,1645659,4163.1201171875
1636163901.023177,1673812,4209.43994140625
1636163931.9392824,1679311,4199.77001953125
1636163942.8962429,1681236,4195.39013671875
1636163970.923723,1686217,4213.2099609375
1636163981.2411022,1688065,4204.7900390625
1636164220.7588463,1730504,4211.18017578125
1636164273.6989737,1739981,4290.52001953125
1636164305.4928772,1745650,4313.080078125
1636164344.942741,1752590,4263.41015625
1636164356.2390103,1754562,4250.06982421875
1636164392.825271,1761025,4216.16015625
1636164431.833733,1767927,4086.31005859375
1636164466.8645794,1774102,4055.330078125
1636164712.2656717,1817575,3865.199951171875
1636164725.9060721,1820020,3876.169921875
1636164820.809348,1836825,3737.340087890625
1636164887.5610313,1848628,3770.6201171875
1636164892.888875,1849569,3762.949951171875
1636164920.8623056,1854443,3745.070068359375
1636164941.9494758,1858186,3756.2099609375
1636164956.3575737,1860752,3750.409912109375
1636165042.8741834,1876137,3746.2900390625
1636165117.6751845,1889433,3746.860107421875
1636165296.2965674,1921058,3925.5
1636165302.4341474,1922154,3936.239990234375
1636165336.310945,1928156,3919.8701171875
1636165572.0432475,1969951,4041.68994140625
1636165582.7349672,1971851,4080.590087890625
1636165599.644339,1974838,4093.27001953125
1636165661.666723,1985756,4126.72998046875
1636165733.0336025,1998386,4185.72021484375
1636165740.874731,1999800,4163.259765625
1636165828.220136,2015230,4091.449951171875
1636165871.6796453,2022938,4034.949951171875
1636165886.509128,2025571,4029.64990234375
1636165932.092569,2033671,4120.0
1636166021.6319687,2049541,4119.72021484375
1636166097.1266005,2062858,4080.510009765625
1636166107.5250537,2064709,4078.18994140625
1636166158.3172283,2073769,4037.22998046875
1636166211.1146553,2083009,3947.860107421875
1636166299.3498693,2098650,3938.75
1636166311.8802607,2100874,3928.510009765625
1636166358.3825355,2109203,4025.909912109375
1636166397.7833543,2116220,4029.8798828125
1636166424.6467755,2120986,4052.080078125
1636166452.5201151,2125923,4124.77978515625
1636166488.9272125,2132352,4145.169921875
1636166519.1526902,2137693,4142.60986328125
1636166563.9484136,2145571,4214.02001953125
1636166640.4419556,2159089,4198.7099609375
1636166742.8520842,2177404,4257.56982421875
